gene,active_frac,drop,dir_flag,chunk,dir_flag_rotate,pairwise_excess
A1BG,1.0,-0.002208526586806996,False,fullgenes_000,False,0
A1CF,1.0,-0.05449568403128577,False,fullgenes_000,True,-1
A2M,1.0,-0.0215087169702768,False,fullgenes_000,True,-1
A2ML1,1.0,0.061620804443803745,True,fullgenes_000,True,0
A3GALT2,1.0,-0.1186976078666354,False,fullgenes_000,True,-1
A4GALT,1.0,0.09161521371422693,True,fullgenes_000,True,0
A4GNT,1.0,-0.036718817326666375,False,fullgenes_000,True,-1
AAAS,1.0,-0.30654613932937513,False,fullgenes_000,True,-1
AACS,1.0,0.02570337130078615,True,fullgenes_000,True,0
AADAC,1.0,0.028979524847978073,True,fullgenes_000,True,0
AADACL2,1.0,-0.06162986783967429,False,fullgenes_000,True,-1
AADACL3,1.0,0.07091663434604352,True,fullgenes_000,True,0
AADACL4,1.0,0.023275747138919396,True,fullgenes_000,True,0
AADAT,1.0,0.06174185117173715,True,fullgenes_000,True,0
AAGAB,1.0,-0.07463831497935869,False,fullgenes_000,True,-1
AAK1,1.0,0.029650465655470797,True,fullgenes_000,True,0
AAMDC,1.0,0.34259689452207365,True,fullgenes_000,True,0
AAMP,1.0,-0.037045708175921385,False,fullgenes_000,True,-1
AANAT,1.0,0.11662361426081923,True,fullgenes_000,True,0
AAR2,1.0,0.07640759983484043,True,fullgenes_000,True,0
AARD,1.0,0.16784396975514992,True,fullgenes_000,True,0
AARS1,1.0,-0.050760296205738076,False,fullgenes_000,True,-1
AARS2,1.0,0.05295922236928747,True,fullgenes_000,True,0
AARSD1,0.9987951807228915,0.24316334593495276,True,fullgenes_000,True,0
AASDH,1.0,-0.02149184807947553,False,fullgenes_000,False,0
AASDHPPT,1.0,0.13419343833033995,True,fullgenes_000,True,0
AASS,1.0,-0.014661385329665691,False,fullgenes_000,False,0
AATF,1.0,0.019295481460205918,True,fullgenes_000,True,0
AATK,1.0,0.05532014796110614,True,fullgenes_000,True,0
ABAT,0.9987951807228915,-0.04389844476207677,False,fullgenes_000,True,-1
ABCA1,1.0,-0.0017687915832832572,False,fullgenes_000,True,-1
ABCA10,1.0,0.04448212671948147,True,fullgenes_000,True,0
ABCA12,1.0,0.04896987572169214,True,fullgenes_000,True,0
ABCA13,1.0,-0.011015340844740665,False,fullgenes_000,False,0
ABCA2,1.0,0.035614267891343976,True,fullgenes_000,True,0
ABCA3,1.0,-0.03427618161219177,False,fullgenes_000,True,-1
ABCA4,1.0,0.10716354168491445,True,fullgenes_000,True,0
ABCA5,1.0,0.03262876897261523,True,fullgenes_000,True,0
ABCA6,1.0,-0.007800447435829017,False,fullgenes_000,False,0
ABCA7,0.9975903614457832,0.0416738278583065,True,fullgenes_000,True,0
ABCA8,1.0,0.09078614971993192,True,fullgenes_000,True,0
ABCA9,1.0,0.07182538966732854,True,fullgenes_000,True,0
ABCB1,1.0,-0.005499793663365782,False,fullgenes_000,True,-1
ABCB10,1.0,0.022517795018456632,True,fullgenes_000,True,0
ABCB11,1.0,-0.06989684265472572,False,fullgenes_000,False,0
ABCB4,1.0,-0.08743603770904393,False,fullgenes_000,True,-1
ABCB5,1.0,-0.08808104550747003,False,fullgenes_000,False,0
